# * COMPONENTS * 
#
# file generated by ** cup.H ** 
#
# a drude model was used for silver
# ------------- 
# ome (eV)	real(eps1)	imag(eps1)	real(eps2)	imag(eps2)
#
  2.2     	2.11515    	-0.00201477	-13.7393   	0.197316   
  2.2012  	2.11512    	-0.00202258	-13.7185   	0.196994   
  2.2024  	2.11509    	-0.00203043	-13.6978   	0.196672   
  2.2036  	2.11506    	-0.00203832	-13.6771   	0.196351   
  2.2048  	2.11503    	-0.00204626	-13.6565   	0.19603    
  2.206   	2.115      	-0.00205425	-13.6359   	0.195711   
  2.2072  	2.11496    	-0.00206228	-13.6153   	0.195392   
  2.2084  	2.11493    	-0.00207036	-13.5947   	0.195073   
  2.2096  	2.1149     	-0.00207849	-13.5742   	0.194756   
  2.2108  	2.11487    	-0.00208667	-13.5537   	0.194439   
  2.212   	2.11484    	-0.00209489	-13.5333   	0.194122   
  2.2132  	2.1148     	-0.00210316	-13.5129   	0.193807   
  2.2144  	2.11477    	-0.00211148	-13.4925   	0.193492   
  2.2156  	2.11474    	-0.00211986	-13.4721   	0.193178   
  2.2168  	2.1147     	-0.00212827	-13.4518   	0.192864   
  2.218   	2.11467    	-0.00213674	-13.4315   	0.192551   
  2.2192  	2.11464    	-0.00214527	-13.4113   	0.192239   
  2.2204  	2.1146     	-0.00215384	-13.3911   	0.191928   
  2.2216  	2.11457    	-0.00216246	-13.3709   	0.191617   
  2.2228  	2.11454    	-0.00217113	-13.3507   	0.191307   
  2.224   	2.1145     	-0.00217986	-13.3306   	0.190997   
  2.2252  	2.11447    	-0.00218864	-13.3105   	0.190689   
  2.2264  	2.11444    	-0.00219747	-13.2905   	0.19038    
  2.2276  	2.1144     	-0.00220635	-13.2705   	0.190073   
  2.2288  	2.11437    	-0.00221529	-13.2505   	0.189766   
  2.23    	2.11433    	-0.00222428	-13.2305   	0.18946    
  2.2312  	2.1143     	-0.00223333	-13.2106   	0.189154   
  2.2324  	2.11426    	-0.00224243	-13.1907   	0.18885    
  2.2336  	2.11423    	-0.00225159	-13.1708   	0.188545   
  2.2348  	2.11419    	-0.0022608 	-13.151    	0.188242   
  2.236   	2.11416    	-0.00227007	-13.1312   	0.187939   
  2.2372  	2.11412    	-0.0022794 	-13.1114   	0.187637   
  2.2384  	2.11409    	-0.00228878	-13.0917   	0.187335   
  2.2396  	2.11405    	-0.00229822	-13.072    	0.187034   
  2.2408  	2.11402    	-0.00230772	-13.0523   	0.186734   
  2.242   	2.11398    	-0.00231728	-13.0327   	0.186434   
  2.2432  	2.11395    	-0.0023269 	-13.0131   	0.186135   
  2.2444  	2.11391    	-0.00233658	-12.9935   	0.185837   
  2.2456  	2.11387    	-0.00234631	-12.974    	0.185539   
  2.2468  	2.11384    	-0.00235611	-12.9545   	0.185242   
  2.248   	2.1138     	-0.00236597	-12.935    	0.184945   
  2.2492  	2.11377    	-0.00237589	-12.9155   	0.18465    
  2.2504  	2.11373    	-0.00238587	-12.8961   	0.184354   
  2.2516  	2.11369    	-0.00239592	-12.8767   	0.18406    
  2.2528  	2.11365    	-0.00240603	-12.8574   	0.183766   
  2.254   	2.11362    	-0.0024162 	-12.838    	0.183473   
  2.2552  	2.11358    	-0.00242644	-12.8187   	0.18318    
  2.2564  	2.11354    	-0.00243674	-12.7995   	0.182888   
  2.2576  	2.1135     	-0.0024471 	-12.7802   	0.182596   
  2.2588  	2.11347    	-0.00245754	-12.761    	0.182305   
  2.26    	2.11343    	-0.00246804	-12.7419   	0.182015   
  2.2612  	2.11339    	-0.0024786 	-12.7227   	0.181726   
  2.2624  	2.11335    	-0.00248924	-12.7036   	0.181437   
  2.2636  	2.11331    	-0.00249994	-12.6845   	0.181148   
  2.2648  	2.11328    	-0.00251071	-12.6655   	0.180861   
  2.266   	2.11324    	-0.00252155	-12.6465   	0.180573   
  2.2672  	2.1132     	-0.00253246	-12.6275   	0.180287   
  2.2684  	2.11316    	-0.00254344	-12.6085   	0.180001   
  2.2696  	2.11312    	-0.00255449	-12.5896   	0.179715   
  2.2708  	2.11308    	-0.00256561	-12.5707   	0.179431   
  2.272   	2.11304    	-0.00257681	-12.5518   	0.179147   
  2.2732  	2.113      	-0.00258808	-12.533    	0.178863   
  2.2744  	2.11296    	-0.00259942	-12.5142   	0.17858    
  2.2756  	2.11292    	-0.00261083	-12.4954   	0.178298   
  2.2768  	2.11288    	-0.00262232	-12.4766   	0.178016   
  2.278   	2.11284    	-0.00263389	-12.4579   	0.177735   
  2.2792  	2.1128     	-0.00264553	-12.4392   	0.177454   
  2.2804  	2.11276    	-0.00265725	-12.4205   	0.177174   
  2.2816  	2.11272    	-0.00266905	-12.4019   	0.176895   
  2.2828  	2.11268    	-0.00268093	-12.3833   	0.176616   
  2.284   	2.11264    	-0.00269288	-12.3647   	0.176338   
  2.2852  	2.11259    	-0.00270491	-12.3462   	0.17606    
  2.2864  	2.11255    	-0.00271703	-12.3277   	0.175783   
  2.2876  	2.11251    	-0.00272922	-12.3092   	0.175507   
  2.2888  	2.11247    	-0.0027415 	-12.2907   	0.175231   
  2.29    	2.11243    	-0.00275386	-12.2723   	0.174956   
  2.2912  	2.11238    	-0.0027663 	-12.2539   	0.174681   
  2.2924  	2.11234    	-0.00277883	-12.2355   	0.174407   
  2.2936  	2.1123     	-0.00279144	-12.2172   	0.174133   
  2.2948  	2.11226    	-0.00280414	-12.1989   	0.17386    
  2.296   	2.11221    	-0.00281692	-12.1806   	0.173588   
  2.2972  	2.11217    	-0.00282979	-12.1623   	0.173316   
  2.2984  	2.11213    	-0.00284275	-12.1441   	0.173044   
  2.2996  	2.11208    	-0.00285579	-12.1259   	0.172774   
  2.3008  	2.11204    	-0.00286893	-12.1077   	0.172504   
  2.302   	2.11199    	-0.00288215	-12.0896   	0.172234   
  2.3032  	2.11195    	-0.00289547	-12.0715   	0.171965   
  2.3044  	2.11191    	-0.00290888	-12.0534   	0.171696   
  2.3056  	2.11186    	-0.00292238	-12.0353   	0.171428   
  2.3068  	2.11182    	-0.00293598	-12.0173   	0.171161   
  2.308   	2.11177    	-0.00294966	-11.9993   	0.170894   
  2.3092  	2.11173    	-0.00296345	-11.9813   	0.170628   
  2.3104  	2.11168    	-0.00297733	-11.9634   	0.170362   
  2.3116  	2.11163    	-0.00299131	-11.9455   	0.170097   
  2.3128  	2.11159    	-0.00300538	-11.9276   	0.169833   
  2.314   	2.11154    	-0.00301956	-11.9097   	0.169568   
  2.3152  	2.1115     	-0.00303383	-11.8919   	0.169305   
  2.3164  	2.11145    	-0.00304821	-11.8741   	0.169042   
  2.3176  	2.1114     	-0.00306268	-11.8563   	0.16878    
  2.3188  	2.11136    	-0.00307726	-11.8385   	0.168518   
  2.32    	2.11131    	-0.00309194	-11.8208   	0.168256   
  2.3212  	2.11126    	-0.00310673	-11.8031   	0.167996   
  2.3224  	2.11121    	-0.00312162	-11.7855   	0.167735   
  2.3236  	2.11117    	-0.00313662	-11.7678   	0.167476   
  2.3248  	2.11112    	-0.00315173	-11.7502   	0.167216   
  2.326   	2.11107    	-0.00316694	-11.7326   	0.166958   
  2.3272  	2.11102    	-0.00318227	-11.7151   	0.1667     
  2.3284  	2.11097    	-0.0031977 	-11.6975   	0.166442   
  2.3296  	2.11092    	-0.00321325	-11.68     	0.166185   
  2.3308  	2.11087    	-0.00322891	-11.6625   	0.165928   
  2.332   	2.11083    	-0.00324468	-11.6451   	0.165672   
  2.3332  	2.11078    	-0.00326057	-11.6277   	0.165417   
  2.3344  	2.11073    	-0.00327657	-11.6103   	0.165162   
  2.3356  	2.11068    	-0.0032927 	-11.5929   	0.164908   
  2.3368  	2.11063    	-0.00330894	-11.5756   	0.164654   
  2.338   	2.11058    	-0.00332529	-11.5582   	0.1644     
  2.3392  	2.11052    	-0.00334177	-11.5409   	0.164147   
  2.3404  	2.11047    	-0.00335838	-11.5237   	0.163895   
  2.3416  	2.11042    	-0.0033751 	-11.5064   	0.163643   
  2.3428  	2.11037    	-0.00339195	-11.4892   	0.163392   
  2.344   	2.11032    	-0.00340892	-11.4721   	0.163141   
  2.3452  	2.11027    	-0.00342602	-11.4549   	0.162891   
  2.3464  	2.11022    	-0.00344325	-11.4378   	0.162641   
