# * INTENSITY STEADY STATE * 
#
# file generated by ** ns_ISS.H ** 
#
# ------------- 
# ome (eV)	Ome	|p1|²	|p2|²	|p3|²	N
#
  2       	0          	0          	0          	0          	1          
  2.0002  	0          	0          	0          	0          	1          
  2.0004  	0          	0          	0          	0          	1          
  2.0006  	0          	0          	0          	0          	1          
  2.0008  	0          	0          	0          	0          	1          
  2.001   	0          	0          	0          	0          	1          
  2.0012  	0          	0          	0          	0          	1          
  2.0014  	0          	0          	0          	0          	1          
  2.0016  	0          	0          	0          	0          	1          
  2.0018  	0          	0          	0          	0          	1          
  2.002   	0          	0          	0          	0          	1          
  2.0022  	0          	0          	0          	0          	1          
  2.0024  	0          	0          	0          	0          	1          
  2.0026  	0          	0          	0          	0          	1          
  2.0028  	0          	0          	0          	0          	1          
  2.003   	0          	0          	0          	0          	1          
  2.0032  	0          	0          	0          	0          	1          
  2.0034  	0          	0          	0          	0          	1          
  2.0036  	0          	0          	0          	0          	1          
  2.0038  	0          	0          	0          	0          	1          
  2.004   	0          	0          	0          	0          	1          
  2.0042  	0          	0          	0          	0          	1          
  2.0044  	0          	0          	0          	0          	1          
  2.0046  	0          	0          	0          	0          	1          
  2.0048  	0          	0          	0          	0          	1          
  2.005   	0          	0          	0          	0          	1          
  2.0052  	0          	0          	0          	0          	1          
  2.0054  	0          	0          	0          	0          	1          
  2.0056  	0          	0          	0          	0          	1          
  2.0058  	0          	0          	0          	0          	1          
  2.006   	0          	0          	0          	0          	1          
  2.0062  	0          	0          	0          	0          	1          
  2.0064  	0          	0          	0          	0          	1          
  2.0066  	0          	0          	0          	0          	1          
  2.0068  	0          	0          	0          	0          	1          
  2.007   	0          	0          	0          	0          	1          
  2.0072  	0          	0          	0          	0          	1          
  2.0074  	0          	0          	0          	0          	1          
  2.0076  	0          	0          	0          	0          	1          
  2.0078  	0          	0          	0          	0          	1          
  2.008   	0          	0          	0          	0          	1          
  2.0082  	0          	0          	0          	0          	1          
  2.0084  	0          	0          	0          	0          	1          
  2.0086  	0          	0          	0          	0          	1          
  2.0088  	0          	0          	0          	0          	1          
  2.009   	0          	0          	0          	0          	1          
  2.0092  	0          	0          	0          	0          	1          
  2.0094  	0          	0          	0          	0          	1          
  2.0096  	0          	0          	0          	0          	1          
  2.0098  	0          	0          	0          	0          	1          
  2.01    	0          	0          	0          	0          	1          
  2.0102  	0          	0          	0          	0          	1          
  2.0104  	0          	0          	0          	0          	1          
  2.0106  	0          	0          	0          	0          	1          
  2.0108  	0          	0          	0          	0          	1          
  2.011   	0          	0          	0          	0          	1          
  2.0112  	0          	0          	0          	0          	1          
  2.0114  	0          	0          	0          	0          	1          
  2.0116  	0          	0          	0          	0          	1          
  2.0118  	0          	0          	0          	0          	1          
  2.012   	0          	0          	0          	0          	1          
  2.0122  	0          	0          	0          	0          	1          
  2.0124  	0          	0          	0          	0          	1          
  2.0126  	0          	0          	0          	0          	1          
  2.0128  	0          	0          	0          	0          	1          
  2.013   	0          	0          	0          	0          	1          
  2.0132  	0          	0          	0          	0          	1          
  2.0134  	0          	0          	0          	0          	1          
  2.0136  	0          	0          	0          	0          	1          
  2.0138  	0          	0          	0          	0          	1          
  2.014   	0          	0          	0          	0          	1          
  2.0142  	0          	0          	0          	0          	1          
  2.0144  	0          	0          	0          	0          	1          
  2.0146  	0          	0          	0          	0          	1          
  2.0148  	0          	0          	0          	0          	1          
  2.015   	0          	0          	0          	0          	1          
  2.0152  	0          	0          	0          	0          	1          
  2.0154  	0          	0          	0          	0          	1          
  2.0156  	0          	0          	0          	0          	1          
  2.0158  	0          	0          	0          	0          	1          
  2.016   	0          	0          	0          	0          	1          
  2.0162  	0          	0          	0          	0          	1          
  2.0164  	0          	0          	0          	0          	1          
  2.0166  	0          	0          	0          	0          	1          
  2.0168  	0          	0          	0          	0          	1          
  2.017   	0          	0          	0          	0          	1          
  2.0172  	0          	0          	0          	0          	1          
  2.0174  	0          	0          	0          	0          	1          
  2.0176  	0          	0          	0          	0          	1          
  2.0178  	0          	0          	0          	0          	1          
  2.018   	0          	0          	0          	0          	1          
  2.0182  	0          	0          	0          	0          	1          
  2.0184  	0          	0          	0          	0          	1          
  2.0186  	0          	0          	0          	0          	1          
  2.0188  	0          	0          	0          	0          	1          
  2.019   	0          	0          	0          	0          	1          
  2.0192  	0          	0          	0          	0          	1          
  2.0194  	0          	0          	0          	0          	1          
  2.0196  	0          	0          	0          	0          	1          
  2.0198  	0          	0          	0          	0          	1          
  2.02    	0          	0          	0          	0          	1          
  2.0202  	0          	0          	0          	0          	1          
  2.0204  	0          	0          	0          	0          	1          
  2.0206  	0          	0          	0          	0          	1          
  2.0208  	0          	0          	0          	0          	1          
  2.021   	0          	0          	0          	0          	1          
  2.0212  	0          	0          	0          	0          	1          
  2.0214  	0          	0          	0          	0          	1          
  2.0216  	0          	0          	0          	0          	1          
  2.0218  	0          	0          	0          	0          	1          
  2.022   	0          	0          	0          	0          	1          
  2.0222  	0          	0          	0          	0          	1          
  2.0224  	0          	0          	0          	0          	1          
  2.0226  	0          	0          	0          	0          	1          
  2.0228  	0          	0          	0          	0          	1          
  2.023   	0          	0          	0          	0          	1          
  2.0232  	0          	0          	0          	0          	1          
  2.0234  	0          	0          	0          	0          	1          
  2.0236  	0          	0          	0          	0          	1          
  2.0238  	0          	0          	0          	0          	1          
  2.024   	0          	0          	0          	0          	1          
  2.0242  	0          	0          	0          	0          	1          
  2.0244  	0          	0          	0          	0          	1          
  2.0246  	0          	0          	0          	0          	1          
  2.0248  	0          	0          	0          	0          	1          
  2.025   	0          	0          	0          	0          	1          
  2.0252  	0          	0          	0          	0          	1          
  2.0254  	0          	0          	0          	0          	1          
  2.0256  	0          	0          	0          	0          	1          
  2.0258  	0          	0          	0          	0          	1          
  2.026   	0          	0          	0          	0          	1          
  2.0262  	0          	0          	0          	0          	1          
  2.0264  	0          	0          	0          	0          	1          
  2.0266  	0          	0          	0          	0          	1          
  2.0268  	0          	0          	0          	0          	1          
  2.027   	0          	0          	0          	0          	1          
  2.0272  	0          	0          	0          	0          	1          
  2.0274  	0          	0          	0          	0          	1          
  2.0276  	0          	0          	0          	0          	1          
  2.0278  	0          	0          	0          	0          	1          
  2.028   	0          	0          	0          	0          	1          
  2.0282  	0          	0          	0          	0          	1          
  2.0284  	0          	0          	0          	0          	1          
  2.0286  	0          	0          	0          	0          	1          
  2.0288  	0          	0          	0          	0          	1          
  2.029   	0          	0          	0          	0          	1          
  2.0292  	0          	0          	0          	0          	1          
  2.0294  	0          	0          	0          	0          	1          
  2.0296  	0          	0          	0          	0          	1          
  2.0298  	0          	0          	0          	0          	1          
  2.03    	0          	0          	0          	0          	1          
  2.0302  	0          	0          	0          	0          	1          
  2.0304  	0          	0          	0          	0          	1          
  2.0306  	0          	0          	0          	0          	1          
  2.0308  	0          	0          	0          	0          	1          
  2.031   	0          	0          	0          	0          	1          
  2.0312  	0          	0          	0          	0          	1          
  2.0314  	0          	0          	0          	0          	1          
  2.0316  	0          	0          	0          	0          	1          
  2.0318  	0          	0          	0          	0          	1          
  2.032   	0          	0          	0          	0          	1          
  2.0322  	0          	0          	0          	0          	1          
  2.0324  	0          	0          	0          	0          	1          
  2.0326  	0          	0          	0          	0          	1          
  2.0328  	0          	0          	0          	0          	1          
  2.033   	0          	0          	0          	0          	1          
  2.0332  	0          	0          	0          	0          	1          
  2.0334  	0          	0          	0          	0          	1          
  2.0336  	0          	0          	0          	0          	1          
  2.0338  	0          	0          	0          	0          	1          
  2.034   	0          	0          	0          	0          	1          
  2.0342  	0          	0          	0          	0          	1          
  2.0344  	0          	0          	0          	0          	1          
  2.0346  	0          	0          	0          	0          	1          
  2.0348  	0          	0          	0          	0          	1          
  2.035   	0          	0          	0          	0          	1          
  2.0352  	0          	0          	0          	0          	1          
  2.0354  	0          	0          	0          	0          	1          
  2.0356  	0          	0          	0          	0          	1          
  2.0358  	0          	0          	0          	0          	1          
  2.036   	0          	0          	0          	0          	1          
  2.0362  	0          	0          	0          	0          	1          
  2.0364  	0          	0          	0          	0          	1          
  2.0366  	0          	0          	0          	0          	1          
  2.0368  	0          	0          	0          	0          	1          
  2.037   	0          	0          	0          	0          	1          
  2.0372  	0          	0          	0          	0          	1          
  2.0374  	0          	0          	0          	0          	1          
  2.0376  	0          	0          	0          	0          	1          
  2.0378  	0          	0          	0          	0          	1          
  2.038   	0          	0          	0          	0          	1          
  2.0382  	0          	0          	0          	0          	1          
  2.0384  	0          	0          	0          	0          	1          
  2.0386  	0          	0          	0          	0          	1          
  2.0388  	0          	0          	0          	0          	1          
  2.039   	0          	0          	0          	0          	1          
  2.0392  	0          	0          	0          	0          	1          
  2.0394  	0          	0          	0          	0          	1          
  2.0396  	0          	0          	0          	0          	1          
  2.0398  	0          	0          	0          	0          	1          
  2.04    	0          	0          	0          	0          	1          
  2.0402  	0          	0          	0          	0          	1          
  2.0404  	0          	0          	0          	0          	1          
  2.0406  	0          	0          	0          	0          	1          
  2.0408  	0          	0          	0          	0          	1          
  2.041   	0          	0          	0          	0          	1          
  2.0412  	0          	0          	0          	0          	1          
  2.0414  	0          	0          	0          	0          	1          
  2.0416  	0          	0          	0          	0          	1          
  2.0418  	0          	0          	0          	0          	1          
  2.042   	0          	0          	0          	0          	1          
  2.0422  	0          	0          	0          	0          	1          
  2.0424  	0          	0          	0          	0          	1          
  2.0426  	0          	0          	0          	0          	1          
  2.0428  	0          	0          	0          	0          	1          
  2.043   	0          	0          	0          	0          	1          
  2.0432  	0          	0          	0          	0          	1          
  2.0434  	0          	0          	0          	0          	1          
  2.0436  	0          	0          	0          	0          	1          
  2.0438  	0          	0          	0          	0          	1          
  2.044   	0          	0          	0          	0          	1          
  2.0442  	0          	0          	0          	0          	1          
  2.0444  	0          	0          	0          	0          	1          
  2.0446  	0          	0          	0          	0          	1          
  2.0448  	0          	0          	0          	0          	1          
  2.045   	0          	0          	0          	0          	1          
  2.0452  	0          	0          	0          	0          	1          
  2.0454  	0          	0          	0          	0          	1          
  2.0456  	0          	0          	0          	0          	1          
  2.0458  	0          	0          	0          	0          	1          
  2.046   	0          	0          	0          	0          	1          
  2.0462  	0          	0          	0          	0          	1          
  2.0464  	0          	0          	0          	0          	1          
  2.0466  	0          	0          	0          	0          	1          
  2.0468  	0          	0          	0          	0          	1          
  2.047   	0          	0          	0          	0          	1          
  2.0472  	0          	0          	0          	0          	1          
  2.0474  	0          	0          	0          	0          	1          
  2.0476  	0          	0          	0          	0          	1          
  2.0478  	0          	0          	0          	0          	1          
  2.048   	0          	0          	0          	0          	1          
  2.0482  	0          	0          	0          	0          	1          
  2.0484  	0          	0          	0          	0          	1          
  2.0486  	0          	0          	0          	0          	1          
  2.0488  	0          	0          	0          	0          	1          
  2.049   	0          	0          	0          	0          	1          
  2.0492  	0          	0          	0          	0          	1          
  2.0494  	0          	0          	0          	0          	1          
  2.0496  	0          	0          	0          	0          	1          
  2.0498  	0          	0          	0          	0          	1          
  2.05    	0          	0          	0          	0          	1          
  2.0502  	0          	0          	0          	0          	1          
  2.0504  	0          	0          	0          	0          	1          
  2.0506  	0          	0          	0          	0          	1          
  2.0508  	0          	0          	0          	0          	1          
  2.051   	0          	0          	0          	0          	1          
  2.0512  	0          	0          	0          	0          	1          
  2.0514  	0          	0          	0          	0          	1          
  2.0516  	0          	0          	0          	0          	1          
  2.0518  	0          	0          	0          	0          	1          
  2.052   	0          	0          	0          	0          	1          
  2.0522  	0          	0          	0          	0          	1          
  2.0524  	0          	0          	0          	0          	1          
  2.0526  	0          	0          	0          	0          	1          
  2.0528  	0          	0          	0          	0          	1          
  2.053   	0          	0          	0          	0          	1          
  2.0532  	0          	0          	0          	0          	1          
  2.0534  	0          	0          	0          	0          	1          
  2.0536  	0          	0          	0          	0          	1          
  2.0538  	0          	0          	0          	0          	1          
  2.054   	0          	0          	0          	0          	1          
  2.0542  	0          	0          	0          	0          	1          
  2.0544  	0          	0          	0          	0          	1          
  2.0546  	0          	0          	0          	0          	1          
  2.0548  	0          	0          	0          	0          	1          
  2.055   	0          	0          	0          	0          	1          
  2.0552  	0          	0          	0          	0          	1          
