# * INTENSITY STEADY STATE * 
#
# file generated by ** ns_ISS.H ** 
#
# ------------- 
# ome (eV)	Ome	|p1|²	|p2|²	|p3|²	N
#
  2.3     	0          	0          	0          	0          	1          
  2.30012 	0          	0          	0          	0          	1          
  2.30024 	0          	0          	0          	0          	1          
  2.30036 	0          	0          	0          	0          	1          
  2.30048 	0          	0          	0          	0          	1          
  2.3006  	0          	0          	0          	0          	1          
  2.30072 	0          	0          	0          	0          	1          
  2.30084 	0          	0          	0          	0          	1          
  2.30096 	0          	0          	0          	0          	1          
  2.30108 	0          	0          	0          	0          	1          
  2.3012  	0          	0          	0          	0          	1          
  2.30132 	0          	0          	0          	0          	1          
  2.30144 	0          	0          	0          	0          	1          
  2.30156 	0          	0          	0          	0          	1          
  2.30168 	0          	0          	0          	0          	1          
  2.3018  	0          	0          	0          	0          	1          
  2.30192 	0          	0          	0          	0          	1          
  2.30204 	0          	0          	0          	0          	1          
  2.30216 	0          	0          	0          	0          	1          
  2.30228 	0          	0          	0          	0          	1          
  2.3024  	0          	0          	0          	0          	1          
  2.30252 	0          	0          	0          	0          	1          
  2.30264 	0          	0          	0          	0          	1          
  2.30276 	0          	0          	0          	0          	1          
  2.30288 	0          	0          	0          	0          	1          
  2.303   	0          	0          	0          	0          	1          
  2.30312 	0          	0          	0          	0          	1          
  2.30324 	0          	0          	0          	0          	1          
  2.30336 	0          	0          	0          	0          	1          
  2.30348 	0          	0          	0          	0          	1          
  2.3036  	0          	0          	0          	0          	1          
  2.30372 	0          	0          	0          	0          	1          
  2.30384 	0          	0          	0          	0          	1          
  2.30396 	0          	0          	0          	0          	1          
  2.30408 	0          	0          	0          	0          	1          
  2.3042  	0          	0          	0          	0          	1          
  2.30432 	0          	0          	0          	0          	1          
  2.30444 	0          	0          	0          	0          	1          
  2.30456 	0          	0          	0          	0          	1          
  2.30468 	0          	0          	0          	0          	1          
  2.3048  	0          	0          	0          	0          	1          
  2.30492 	0          	0          	0          	0          	1          
  2.30504 	0          	0          	0          	0          	1          
  2.30516 	0          	0          	0          	0          	1          
  2.30528 	0          	0          	0          	0          	1          
  2.3054  	0          	0          	0          	0          	1          
  2.30552 	0          	0          	0          	0          	1          
  2.30564 	0          	0          	0          	0          	1          
  2.30576 	0          	0          	0          	0          	1          
  2.30588 	0          	0          	0          	0          	1          
  2.306   	0          	0          	0          	0          	1          
  2.30612 	0          	0          	0          	0          	1          
  2.30624 	0          	0          	0          	0          	1          
  2.30636 	0          	0          	0          	0          	1          
  2.30648 	0          	0          	0          	0          	1          
  2.3066  	0          	0          	0          	0          	1          
  2.30672 	0          	0          	0          	0          	1          
  2.30684 	0          	0          	0          	0          	1          
  2.30696 	0          	0          	0          	0          	1          
  2.30708 	0          	0          	0          	0          	1          
  2.3072  	0          	0          	0          	0          	1          
  2.30732 	0          	0          	0          	0          	1          
  2.30744 	0          	0          	0          	0          	1          
  2.30756 	0          	0          	0          	0          	1          
  2.30768 	0          	0          	0          	0          	1          
  2.3078  	0          	0          	0          	0          	1          
  2.30792 	0          	0          	0          	0          	1          
  2.30804 	0          	0          	0          	0          	1          
  2.30816 	0          	0          	0          	0          	1          
  2.30828 	0          	0          	0          	0          	1          
