# * FREQUENCY TEST * 
#
# file generated by ** cup.H ** 
#
# PARAMETERS: 
# G = 0.155143
# E0 = 3.10942e-10
# Esat = 0.310942
# omemin = 2.41523, omemax =3.2645
# ------------- 
# a drude model was used for silver
# ------------- 
# t (ps)	 omeeV 	 omeeV/Ome_p (norm) 	 Bigome (norm) 	 ome_em (eV) 	 Dip_max
#
  21.6992 	2.45523      	0.255753     	-0.0394832   	2.83427      	0.0149108    
  14.65   	2.48176      	0.258517     	-0.0363731   	2.83094      	0.0182273    
  11.7141 	2.50828      	0.261279     	-0.0332951   	2.82791      	0.0204413    
  10.1687 	2.53481      	0.264043     	-0.0302463   	2.82517      	0.0219859    
  9.26179 	2.56134      	0.266806     	-0.0272269   	2.82272      	0.0230769    
  8.69916 	2.58786      	0.269569     	-0.0242373   	2.82054      	0.0238448    
  8.33947 	2.61439      	0.272332     	-0.0212746   	2.81863      	0.0243774    
  8.10519 	2.64092      	0.275096     	-0.0183392   	2.81698      	0.0247384    
  7.94756 	2.66744      	0.277858     	-0.0154314   	2.81558      	0.0249753    
  7.83183 	2.69397      	0.280622     	-0.0125485   	2.81444      	0.0251245    
  7.72857 	2.7205       	0.283385     	-0.00969089  	2.81353      	0.0252137    
  7.60358 	2.74702      	0.286148     	-0.00685898  	2.81287      	0.0252636    
  7.38253 	2.77355      	0.288911     	-0.00405005  	2.81243      	0.0252891    
  6.72939 	2.80008      	0.291675     	-0.00126458  	2.81222      	0.0252993    
  6.88379 	2.8266       	0.294438     	0.00149697   	2.81223      	0.0252989    
  7.59    	2.85313      	0.297201     	0.00423723   	2.81245      	0.0252879    
  7.92768 	2.87965      	0.299964     	0.00695468   	2.81289      	0.0252624    
  8.18143 	2.90618      	0.302727     	0.00965189   	2.81352      	0.0252146    
  8.41674 	2.93271      	0.305491     	0.0123283    	2.81436      	0.0251332    
  8.66426 	2.95923      	0.308253     	0.0149835    	2.81539      	0.0250033    
  8.94921 	2.98576      	0.311017     	0.0176199    	2.81661      	0.0248068    
  9.29895 	3.01229      	0.31378      	0.020237     	2.81802      	0.0245216    
  9.74791 	3.03881      	0.316543     	0.0228342    	2.8196       	0.0241213    
  10.3457 	3.06534      	0.319306     	0.025414     	2.82137      	0.023574     
  11.1676 	3.09187      	0.32207      	0.0279757    	2.8233       	0.0228399    
  12.3396 	3.11839      	0.324832     	0.0305189    	2.82541      	0.021868     
  14.0976 	3.14492      	0.327596     	0.0330459    	2.82768      	0.0205881    
  16.9383 	3.17145      	0.330359     	0.035556     	2.83011      	0.0188964    
  22.1375 	3.19797      	0.333122     	0.0380488    	2.8327       	0.0166187    
  34.3205 	3.2245       	0.335885     	0.0405265    	2.83545      	0.0133981    
