# * STATIC * 
#
# file generated by ** cup.H ** 
#
# PARAMETERS: 
# G = 0.114758
# a drude model was used for silver
# ------------- 
# ome (eV)	real(alph)	imag(alph)
#
  2.2     	24.5128    	0.0200328  
  2.20012 	24.6075    	0.0099983  
  2.20024 	24.7029    	-0.000182218
  2.20036 	24.7991    	-0.0105112 
  2.20048 	24.8961    	-0.0209912 
  2.2006  	24.9939    	-0.0316248 
  2.20072 	25.0926    	-0.0424144 
  2.20084 	25.192     	-0.0533629 
  2.20096 	25.2923    	-0.0644728 
  2.20108 	25.3935    	-0.075747  
  2.2012  	25.4955    	-0.0871883 
  2.20132 	25.5983    	-0.0987995 
  2.20144 	25.7021    	-0.110584  
  2.20156 	25.8067    	-0.122544  
  2.20168 	25.9123    	-0.134683  
  2.2018  	26.0187    	-0.147004  
  2.20192 	26.1261    	-0.15951   
  2.20204 	26.2344    	-0.172206  
  2.20216 	26.3437    	-0.185093  
  2.20228 	26.454     	-0.198175  
  2.2024  	26.5652    	-0.211457  
  2.20252 	26.6774    	-0.224941  
  2.20264 	26.7906    	-0.238631  
  2.20276 	26.9048    	-0.252531  
  2.20288 	27.0201    	-0.266645  
  2.203   	27.1364    	-0.280976  
  2.20312 	27.2537    	-0.295529  
  2.20324 	27.3721    	-0.310308  
  2.20336 	27.4917    	-0.325317  
  2.20348 	27.6123    	-0.34056   
  2.2036  	27.734     	-0.356042  
  2.20372 	27.8569    	-0.371767  
  2.20384 	27.9809    	-0.38774   
  2.20396 	28.106     	-0.403965  
  2.20408 	28.2324    	-0.420447  
  2.2042  	28.3599    	-0.437192  
  2.20432 	28.4887    	-0.454203  
  2.20444 	28.6187    	-0.471488  
  2.20456 	28.7499    	-0.48905   
  2.20468 	28.8824    	-0.506895  
  2.2048  	29.0162    	-0.525029  
  2.20492 	29.1513    	-0.543457  
  2.20504 	29.2877    	-0.562186  
  2.20516 	29.4254    	-0.581221  
  2.20528 	29.5645    	-0.600568  
  2.2054  	29.705     	-0.620234  
  2.20552 	29.8469    	-0.640225  
  2.20564 	29.9902    	-0.660548  
  2.20576 	30.1349    	-0.68121   
  2.20588 	30.2811    	-0.702216  
  2.206   	30.4288    	-0.723576  
  2.20612 	30.578     	-0.745295  
  2.20624 	30.7288    	-0.767382  
  2.20636 	30.881     	-0.789843  
  2.20648 	31.0349    	-0.812688  
  2.2066  	31.1904    	-0.835924  
  2.20672 	31.3475    	-0.859559  
  2.20684 	31.5062    	-0.883602  
  2.20696 	31.6667    	-0.908062  
  2.20708 	31.8288    	-0.932947  
  2.2072  	31.9926    	-0.958268  
  2.20732 	32.1583    	-0.984033  
  2.20744 	32.3257    	-1.01025   
  2.20756 	32.4949    	-1.03694   
  2.20768 	32.666     	-1.06409   
  2.2078  	32.8389    	-1.09174   
  2.20792 	33.0138    	-1.11987   
  2.20804 	33.1906    	-1.14852   
  2.20816 	33.3694    	-1.17769   
  2.20828 	33.5501    	-1.20738   
  2.2084  	33.7329    	-1.23762   
  2.20852 	33.9178    	-1.26841   
  2.20864 	34.1048    	-1.29977   
  2.20876 	34.2939    	-1.33171   
  2.20888 	34.4852    	-1.36425   
  2.209   	34.6787    	-1.3974    
  2.20912 	34.8745    	-1.43117   
  2.20924 	35.0725    	-1.46558   
  2.20936 	35.2729    	-1.50064   
  2.20948 	35.4757    	-1.53637   
  2.2096  	35.6808    	-1.57278   
  2.20972 	35.8885    	-1.6099    
  2.20984 	36.0986    	-1.64774   
  2.20996 	36.3112    	-1.68632   
  2.21008 	36.5265    	-1.72565   
  2.2102  	36.7444    	-1.76575   
  2.21032 	36.965     	-1.80665   
  2.21044 	37.1883    	-1.84837   
  2.21056 	37.4144    	-1.89092   
  2.21068 	37.6433    	-1.93432   
  2.2108  	37.8752    	-1.97861   
  2.21092 	38.1099    	-2.02379   
  2.21104 	38.3477    	-2.0699    
  2.21116 	38.5885    	-2.11696   
  2.21128 	38.8325    	-2.16499   
  2.2114  	39.0796    	-2.21403   
  2.21152 	39.3299    	-2.26409   
  2.21164 	39.5836    	-2.3152    
  2.21176 	39.8406    	-2.3674    
  2.21188 	40.101     	-2.42071   
  2.212   	40.365     	-2.47516   
  2.21212 	40.6325    	-2.53079   
  2.21224 	40.9036    	-2.58763   
  2.21236 	41.1784    	-2.64571   
  2.21248 	41.4571    	-2.70507   
  2.2126  	41.7396    	-2.76573   
  2.21272 	42.026     	-2.82775   
  2.21284 	42.3165    	-2.89116   
  2.21296 	42.611     	-2.956     
  2.21308 	42.9098    	-3.02231   
  2.2132  	43.2128    	-3.09014   
  2.21332 	43.5203    	-3.15953   
  2.21344 	43.8322    	-3.23052   
  2.21356 	44.1486    	-3.30317   
  2.21368 	44.4697    	-3.37753   
  2.2138  	44.7956    	-3.45364   
  2.21392 	45.1263    	-3.53156   
  2.21404 	45.462     	-3.61135   
  2.21416 	45.8028    	-3.69307   
  2.21428 	46.1488    	-3.77677   
  2.2144  	46.5002    	-3.86253   
  2.21452 	46.8569    	-3.95039   
  2.21464 	47.2192    	-4.04044   
  2.21476 	47.5872    	-4.13275   
  2.21488 	47.9611    	-4.22738   
  2.215   	48.3408    	-4.32442   
  2.21512 	48.7267    	-4.42394   
  2.21524 	49.1188    	-4.52603   
  2.21536 	49.5173    	-4.63077   
  2.21548 	49.9224    	-4.73825   
  2.2156  	50.3342    	-4.84858   
  2.21572 	50.7528    	-4.96184   
  2.21584 	51.1784    	-5.07814   
  2.21596 	51.6113    	-5.19758   
  2.21608 	52.0516    	-5.32028   
  2.2162  	52.4994    	-5.44635   
  2.21632 	52.955     	-5.57592   
  2.21644 	53.4185    	-5.70911   
  2.21656 	53.8902    	-5.84606   
  2.21668 	54.3703    	-5.9869    
  2.2168  	54.859     	-6.13178   
  2.21692 	55.3565    	-6.28084   
  2.21704 	55.8631    	-6.43426   
  2.21716 	56.3789    	-6.5922    
  2.21728 	56.9043    	-6.75483   
  2.2174  	57.4395    	-6.92233   
