# * FREQUENCY TEST * 
#
# file generated by ** cup.H ** 
#
# PARAMETERS: 
# G = 0.155143
# E0 = 3.10942e-10
# Esat = 0.310942
# omemin =2.41523
# a drude model was used for silver
# ------------- 
# omeeV	 Dip_max
#
  2.45523      	0.0149108    
  2.48176      	0.0182273    
  2.50828      	0.0204413    
  2.53481      	0.0219859    
  2.56134      	0.0230769    
  2.58786      	0.0238448    
  2.61439      	0.0243774    
  2.64092      	0.0247384    
  2.66744      	0.0249753    
  2.69397      	0.0251245    
  2.7205       	0.0252137    
  2.74702      	0.0252636    
  2.77355      	0.0252891    
  2.80008      	0.0252993    
  2.8266       	0.0252989    
  2.85313      	0.0252879    
  2.87965      	0.0252624    
  2.90618      	0.0252146    
  2.93271      	0.0251332    
  2.95923      	0.0250033    
  2.98576      	0.0248068    
  3.01229      	0.0245216    
  3.03881      	0.0241213    
  3.06534      	0.023574     
  3.09187      	0.0228399    
  3.11839      	0.021868     
  3.14492      	0.0205881    
  3.17145      	0.0188964    
  3.19797      	0.0166187    
  3.2245       	0.0133981    
